DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24
2022-10-16,-1.3,-1.71,-2.64,-1.82,-2.05,-1.91
2022-10-23,-1.66,-1.79,-2.7,-1.86,-2.1,-1.89
2022-11-01,-1.81,-2.02,-3.11,-1.87,-2.07,-2.14
2022-11-09,-2.13,-1.98,-2.88,-1.8,-2.04,-2.06
2022-11-16,-1.33,-1.68,-2.76,-1.72,-2.21,-1.98
2022-11-23,-1.13,-1.69,-2.86,-1.79,-2.28,-2.33
2022-12-01,0.23,-1.33,-2.27,-1.62,-2.05,-2.4
2022-12-09,2.0,0.03,-0.74,-1.12,-1.32,-1.96
2022-12-16,1.62,0.0,-0.66,-1.35,-1.38,-1.96
2022-12-23,1.42,-0.21,-0.87,-1.88,-1.82,-2.06
2023-01-01,1.07,-0.16,-0.9,-2.08,-1.93,-2.35
2023-01-09,-0.85,-0.12,-0.89,-2.09,-1.85,-2.44
2023-01-16,-1.0,0.04,-0.91,-2.35,-1.8,-2.41
2023-01-23,-1.07,0.13,-0.97,-2.51,-1.82,-2.52
2023-02-01,-1.14,0.34,-0.99,-2.62,-1.71,-2.5
2023-02-09,-1.34,0.19,-1.14,-2.44,-1.67,-2.67
2023-02-16,-1.57,-0.07,-1.25,-2.39,-1.66,-2.8
2023-02-23,-1.18,0.09,-1.21,-2.17,-1.6,-2.71
2023-03-01,-0.92,-0.22,-1.14,-1.93,-1.77,-2.98
2023-03-09,-0.75,-1.46,-1.19,-1.77,-2.14,-3.2
2023-03-16,-0.61,-1.59,-1.34,-1.76,-2.54,-3.13
2023-03-23,-1.58,-1.8,-1.47,-1.9,-2.98,-2.86
2023-04-01,-2.82,-2.17,-1.65,-2.11,-4.11,-3.24
2023-04-09,-2.3,-2.61,-1.79,-2.24,-3.94,-3.41
2023-04-16,-2.41,-2.53,-1.7,-2.4,-4.06,-3.77
2023-04-23,-2.66,-3.08,-1.75,-2.75,-4.73,-4.04
2023-05-01,-2.2,-2.8,-1.64,-2.72,-4.1,-3.98
2023-05-09,-2.25,-2.62,-1.72,-2.66,-3.55,-4.17
2023-05-16,-1.15,-2.37,-1.64,-2.38,-3.23,-3.6
2023-05-23,0.98,-1.63,-1.01,-1.86,-2.38,-3.12
2023-06-01,1.89,-1.18,-0.97,-1.57,-2.0,-3.05
2023-06-09,2.12,-1.11,-1.76,-1.56,-1.89,-3.01
2023-06-16,2.1,-0.8,-1.7,-1.47,-1.76,-3.02
2023-06-23,0.91,-0.6,-1.69,-1.48,-1.81,-3.09
2023-07-01,-0.32,-0.32,-1.75,-1.47,-1.82,-3.12
2023-07-09,-0.79,-0.03,-1.77,-1.47,-1.82,-3.2
2023-07-16,-4.67,0.23,-1.73,-1.33,-1.82,-3.2
2023-07-23,-3.09,0.6,-1.72,-1.2,-1.83,-3.27
